Date,Time,State,Group,Unit,Sales,filled_Group,standard_sales,scaled_sales,Week,Month,Quarter,Day
2020-10-01, Morning,WA,Kids,8,20000, Kids,-0.7755298747672306,0.09523809523809523,40,10,4,1
2020-10-01, Morning,WA,Men,8,20000, Men,-0.7755298747672306,0.09523809523809523,40,10,4,1
2020-10-01, Morning,WA,Women,4,10000, Women,-1.0855736792246156,0.031746031746031744,40,10,4,1
2020-10-01, Morning,WA,Seniors,15,37500, Seniors,-0.23295321696680696,0.20634920634920634,40,10,4,1
2020-10-01, Afternoon,WA,Kids,3,7500, Kids,-1.1630846303389617,0.015873015873015872,40,10,4,1
2020-10-01, Afternoon,WA,Men,10,25000, Men,-0.6205079725385382,0.12698412698412698,40,10,4,1
2020-10-01, Afternoon,WA,Women,3,7500, Women,-1.1630846303389617,0.015873015873015872,40,10,4,1
2020-10-01, Afternoon,WA,Seniors,11,27500, Seniors,-0.5429970214241919,0.14285714285714285,40,10,4,1
2020-10-01, Evening,WA,Kids,15,37500, Kids,-0.23295321696680696,0.20634920634920634,40,10,4,1
2020-10-01, Evening,WA,Men,15,37500, Men,-0.23295321696680696,0.20634920634920634,40,10,4,1
2020-10-01, Evening,WA,Women,3,7500, Women,-1.1630846303389617,0.015873015873015872,40,10,4,1
2020-10-01, Evening,WA,Seniors,10,25000, Seniors,-0.6205079725385382,0.12698412698412698,40,10,4,1
2020-10-01, Morning,NT,Kids,13,32500, Kids,-0.38797511919549943,0.1746031746031746,40,10,4,1
2020-10-01, Morning,NT,Men,5,12500, Men,-1.0080627281102692,0.047619047619047616,40,10,4,1
2020-10-01, Morning,NT,Women,4,10000, Women,-1.0855736792246156,0.031746031746031744,40,10,4,1
2020-10-01, Morning,NT,Seniors,10,25000, Seniors,-0.6205079725385382,0.12698412698412698,40,10,4,1
2020-10-01, Afternoon,NT,Kids,13,32500, Kids,-0.38797511919549943,0.1746031746031746,40,10,4,1
2020-10-01, Afternoon,NT,Men,4,10000, Men,-1.0855736792246156,0.031746031746031744,40,10,4,1
2020-10-01, Afternoon,NT,Women,6,15000, Women,-0.9305517769959231,0.06349206349206349,40,10,4,1
2020-10-01, Afternoon,NT,Seniors,5,12500, Seniors,-1.0080627281102692,0.047619047619047616,40,10,4,1
2020-10-01, Evening,NT,Kids,13,32500, Kids,-0.38797511919549943,0.1746031746031746,40,10,4,1
2020-10-01, Evening,NT,Men,8,20000, Men,-0.7755298747672306,0.09523809523809523,40,10,4,1
2020-10-01, Evening,NT,Women,9,22500, Women,-0.6980189236528843,0.1111111111111111,40,10,4,1
2020-10-01, Evening,NT,Seniors,14,35000, Seniors,-0.3104641680811532,0.19047619047619047,40,10,4,1
2020-10-01, Morning,SA,Kids,12,30000, Kids,-0.4654860703098457,0.15873015873015872,40,10,4,1
2020-10-01, Morning,SA,Men,12,30000, Men,-0.4654860703098457,0.15873015873015872,40,10,4,1
2020-10-01, Morning,SA,Women,16,40000, Women,-0.15544226585246074,0.2222222222222222,40,10,4,1
2020-10-01, Morning,SA,Seniors,28,70000, Seniors,0.7746891475196941,0.4126984126984127,40,10,4,1
2020-10-01, Afternoon,SA,Kids,16,40000, Kids,-0.15544226585246074,0.2222222222222222,40,10,4,1
2020-10-01, Afternoon,SA,Men,28,70000, Men,0.7746891475196941,0.4126984126984127,40,10,4,1
2020-10-01, Afternoon,SA,Women,21,52500, Women,0.23211248971927045,0.30158730158730157,40,10,4,1
2020-10-01, Afternoon,SA,Seniors,29,72500, Seniors,0.8522000986340403,0.42857142857142855,40,10,4,1
2020-10-01, Evening,SA,Kids,15,37500, Kids,-0.23295321696680696,0.20634920634920634,40,10,4,1
2020-10-01, Evening,SA,Men,22,55000, Men,0.3096234408336167,0.31746031746031744,40,10,4,1
2020-10-01, Evening,SA,Women,32,80000, Women,1.084732951977079,0.47619047619047616,40,10,4,1
2020-10-01, Evening,SA,Seniors,21,52500, Seniors,0.23211248971927045,0.30158730158730157,40,10,4,1
2020-10-01, Morning,VIC,Kids,49,122500, Kids,2.402419120920965,0.746031746031746,40,10,4,1
2020-10-01, Morning,VIC,Men,36,90000, Men,1.394776756434464,0.5396825396825397,40,10,4,1
2020-10-01, Morning,VIC,Women,34,85000, Women,1.2397548542057715,0.5079365079365079,40,10,4,1
2020-10-01, Morning,VIC,Seniors,26,65000, Seniors,0.6196672452910016,0.38095238095238093,40,10,4,1
2020-10-01, Afternoon,VIC,Kids,31,77500, Kids,1.0072220008627328,0.4603174603174603,40,10,4,1
2020-10-01, Afternoon,VIC,Men,26,65000, Men,0.6196672452910016,0.38095238095238093,40,10,4,1
2020-10-01, Afternoon,VIC,Women,26,65000, Women,0.6196672452910016,0.38095238095238093,40,10,4,1
2020-10-01, Afternoon,VIC,Seniors,32,80000, Seniors,1.084732951977079,0.47619047619047616,40,10,4,1
2020-10-01, Evening,VIC,Kids,27,67500, Kids,0.6971781964053478,0.3968253968253968,40,10,4,1
2020-10-01, Evening,VIC,Men,43,107500, Men,1.9373534142348876,0.6507936507936508,40,10,4,1
2020-10-01, Evening,VIC,Women,50,125000, Women,2.4799300720353115,0.7619047619047619,40,10,4,1
2020-10-01, Evening,VIC,Seniors,44,110000, Seniors,2.0148643653492337,0.6666666666666666,40,10,4,1
2020-10-01, Morning,QLD,Kids,20,50000, Kids,0.1546015386049242,0.2857142857142857,40,10,4,1
